
0005,manutencaoo,20:00,23:00,00000000000
0003,rotina,14:00,20:00,44444444444
0007,reparo,23:00,2:00,22222222222
0024,reparo,06/09/2022 01:00,06/09/2022 01:30,99999999999
0013,conserto,05/09/2022 14:00,05/09/2022 16:00,22222222222
0021,transporte de materiais,07/09/2022 00:00,07/09/2022 00:30,99999999999
0007,12345678910,06/09/2022 00:30,06/09/2022 02:30,12345678910
0026,reparo,06/09/2022 00:00,06/09/2022 02:00,11111111111
0024,teste,06/09/2022 00:00,06/09/2022 02:30,22222222222
0007,repar,06/09/2022 00:00,06/09/2022 02:00,00000000000
0025,manutencao,07/09/2022 00:00,07/09/2022 01:00,11111111111
